id,userId,username,passwordHash,role,provinceId,districtId,stationId,linkedTukTukId,isActive,lastLogin,createdAt
1,364d4895-ab8b-47df-8455-5c051500a7e5,hq_admin,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,hq_admin,,,,,TRUE,2026-04-26T09:49:40.253Z,2026-04-26T08:08:11.868Z
2,8df3f249-3dad-421a-a7ee-1f4f56add227,prov_wp,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,province_admin,1,,,,TRUE,,2026-04-26T08:08:11.868Z
3,cd1c7cef-36af-4f2a-9bd4-bce627fb716a,prov_cp,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,province_admin,2,,,,TRUE,,2026-04-26T08:08:11.868Z
4,827331bb-9989-46f7-9e8e-8985b369113b,prov_sp,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,province_admin,3,,,,TRUE,,2026-04-26T08:08:11.868Z
5,e9324c61-712f-41fb-856d-2e0c562a533f,prov_np,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,province_admin,4,,,,TRUE,,2026-04-26T08:08:11.868Z
6,11a98168-0348-43fc-9c75-91e324b4e1b5,prov_ep,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,province_admin,5,,,,TRUE,,2026-04-26T08:08:11.869Z
7,6f46b473-a6d3-432f-9536-97565f59aa30,prov_nwp,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,province_admin,6,,,,TRUE,,2026-04-26T08:08:11.869Z
8,940a3b7c-fc36-4d23-8a67-a0a29be78c03,prov_ncp,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,province_admin,7,,,,TRUE,,2026-04-26T08:08:11.869Z
9,2b33c283-f8c9-4a9c-a8ea-a07e78702f50,prov_up,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,province_admin,8,,,,TRUE,,2026-04-26T08:08:11.869Z
10,f9d4639c-d7d1-49cf-a596-27972916d57f,prov_sgp,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,province_admin,9,,,,TRUE,,2026-04-26T08:08:11.869Z
11,9d49e6c1-b2b9-4919-a64e-425d88032b69,dist_admin_colombo,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,district_admin,1,1,,,TRUE,,2026-04-26T08:08:11.870Z
12,02926807-3cd5-45e6-85ae-70bd6f6328e5,dist_admin_gampaha,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,district_admin,1,2,,,TRUE,,2026-04-26T08:08:11.870Z
13,757fa101-c1dd-4592-93eb-6dc73048bd02,dist_admin_kalutara,$2a$12$SDxvMc1YPmea6l97LxwBvOZcpOASrebHs33e4Ac4ukgs0Vh6FMZxG,district_admin,1,3,,,TRUE,,2026-04-26T08:08:11.870Z
